coo: 52.073876_4.293582;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2022-04-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;14.12;84.97;23.33;96.87;32.30;109.85;40.49;124.82;47.16;142.80;51.30;164.24;51.96;187.74;48.96;210.19;43.06;229.40;35.31;245.33;26.56;258.89;17.40;271.09;8.28;282.70;-0.44;294.37;-8.37;306.59;--;--;--;--;
2022-04-29;--;--;--;--;--;--;--;--;--;--;--;--;--;--;14.38;84.80;23.59;96.69;32.57;109.66;40.77;124.64;47.46;142.67;51.61;164.21;52.27;187.84;49.25;210.39;43.32;229.65;35.55;245.58;26.78;259.14;17.62;271.32;8.50;282.92;-0.21;294.57;-8.12;306.78;--;--;--;--;
2022-04-30;--;--;--;--;--;--;--;--;--;--;--;--;--;--;14.64;84.62;23.85;96.50;32.83;109.47;41.05;124.47;47.76;142.54;51.92;164.18;52.57;187.94;49.53;210.59;43.57;229.89;35.78;245.83;27.01;259.38;17.84;271.55;8.72;283.14;0.02;294.78;-7.87;306.97;--;--;--;--;
2022-05-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;14.90;84.45;24.11;96.32;33.10;109.28;41.33;124.29;48.05;142.41;52.22;164.14;52.87;188.03;49.80;210.78;43.82;230.13;36.01;246.08;27.22;259.62;18.05;271.78;8.94;283.35;0.25;294.97;-7.62;307.15;--;--;--;--;
2022-05-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;15.15;84.27;24.36;96.13;33.35;109.09;41.60;124.11;48.34;142.27;52.52;164.10;53.17;188.12;50.08;210.98;44.07;230.37;36.24;246.32;27.44;259.85;18.27;272.00;9.16;283.56;0.48;295.17;-7.38;307.32;--;--;--;--;
2022-05-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;15.39;84.10;24.60;95.95;33.60;108.90;41.86;123.93;48.62;142.13;52.82;164.05;53.46;188.21;50.35;211.16;44.31;230.60;36.46;246.56;27.65;260.08;18.48;272.22;9.37;283.76;0.71;295.36;-7.14;307.49;--;--;--;--;
2022-05-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;15.63;83.92;24.84;95.77;33.85;108.71;42.12;123.75;48.90;141.99;53.11;164.00;53.74;188.29;50.61;211.35;44.56;230.83;36.68;246.79;27.86;260.31;18.69;272.43;9.59;283.96;0.93;295.54;-6.90;307.66;--;--;--;--;
2022-05-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;15.87;83.75;25.08;95.58;34.09;108.53;42.38;123.57;49.17;141.85;53.39;163.95;54.03;188.37;50.88;211.53;44.79;231.05;36.90;247.03;28.07;260.53;18.89;272.64;9.80;284.16;1.15;295.72;-6.67;307.82;--;--;--;--;
2022-05-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;16.10;83.58;25.31;95.40;34.33;108.34;42.62;123.38;49.43;141.70;53.68;163.90;54.31;188.45;51.14;211.71;45.03;231.28;37.12;247.25;28.28;260.75;19.10;272.84;10.01;284.35;1.37;295.90;-6.43;307.98;--;--;--;--;
2022-05-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;16.32;83.41;25.53;95.22;34.56;108.15;42.87;123.20;49.69;141.55;53.95;163.84;54.58;188.52;51.39;211.88;45.26;231.49;37.33;247.47;28.48;260.96;19.30;273.04;10.21;284.54;1.59;296.07;-6.20;308.13;--;--;--;--;
2022-05-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;16.54;83.24;25.75;95.03;34.78;107.96;43.11;123.01;49.95;141.40;54.22;163.78;54.85;188.59;51.64;212.05;45.49;231.70;37.54;247.69;28.68;261.17;19.50;273.24;10.42;284.72;1.80;296.24;-5.98;308.28;--;--;--;--;
2022-05-09;--;--;--;--;--;--;--;--;--;--;--;--;7.77;71.66;16.76;83.07;25.97;94.85;35.00;107.77;43.34;122.83;50.20;141.25;54.49;163.72;55.12;188.65;51.89;212.22;45.71;231.91;37.75;247.90;28.88;261.38;19.70;273.43;10.62;284.90;2.01;296.40;-5.75;308.43;--;--;--;--;
2022-05-10;--;--;--;--;--;--;--;--;--;--;--;--;7.98;71.50;16.96;82.90;26.17;94.67;35.21;107.58;43.56;122.64;50.44;141.10;54.75;163.66;55.38;188.72;52.13;212.38;45.93;232.11;37.95;248.11;29.08;261.57;19.89;273.62;10.82;285.07;2.22;296.56;-5.53;308.57;--;--;--;--;
2022-05-11;--;--;--;--;--;--;--;--;--;--;--;--;8.19;71.35;17.17;82.73;26.38;94.49;35.42;107.39;43.78;122.46;50.68;140.95;55.00;163.59;55.63;188.77;52.37;212.54;46.15;232.31;38.16;248.31;29.27;261.77;20.08;273.80;11.01;285.24;2.43;296.71;-5.31;308.70;--;--;--;--;
2022-05-12;--;--;--;--;--;--;--;--;--;--;--;--;8.39;71.19;17.37;82.57;26.58;94.32;35.63;107.20;44.00;122.27;50.92;140.79;55.25;163.51;55.88;188.82;52.61;212.69;46.37;232.50;38.35;248.51;29.46;261.96;20.27;273.97;11.21;285.40;2.63;296.86;-5.10;308.83;--;--;--;--;
2022-05-13;--;--;--;--;--;--;--;--;--;--;--;--;8.59;71.04;17.56;82.40;26.77;94.14;35.82;107.02;44.21;122.08;51.14;140.63;55.50;163.44;56.13;188.87;52.84;212.83;46.58;232.69;38.55;248.70;29.65;262.14;20.46;274.15;11.40;285.56;2.83;297.01;-4.89;308.96;--;--;--;--;
2022-05-14;--;--;--;--;--;--;--;--;--;--;--;--;8.79;70.89;17.75;82.24;26.95;93.96;36.01;106.83;44.41;121.90;51.37;140.47;55.74;163.36;56.37;188.92;53.07;212.98;46.78;232.87;38.74;248.89;29.83;262.32;20.64;274.31;11.59;285.71;3.03;297.14;-4.68;309.08;--;--;--;--;
2022-05-15;--;--;--;--;--;--;--;--;--;--;--;--;8.97;70.74;17.93;82.07;27.13;93.79;36.20;106.65;44.61;121.71;51.58;140.31;55.97;163.28;56.61;188.96;53.29;213.11;46.99;233.05;38.93;249.07;30.02;262.49;20.82;274.47;11.77;285.86;3.22;297.28;-4.48;309.20;--;--;--;--;
2022-05-16;--;--;--;--;--;--;--;--;--;--;--;--;9.16;70.59;18.11;81.91;27.31;93.61;36.38;106.46;44.80;121.53;51.79;140.15;56.20;163.19;56.84;188.99;53.51;213.24;47.19;233.22;39.12;249.25;30.20;262.66;21.00;274.63;11.96;286.00;3.41;297.41;-4.27;309.31;--;--;--;--;
2022-05-17;--;--;--;--;--;--;--;--;--;--;--;--;9.33;70.45;18.28;81.75;27.48;93.44;36.55;106.28;44.99;121.34;51.99;139.99;56.42;163.10;57.06;189.02;53.72;213.37;47.38;233.39;39.30;249.42;30.37;262.82;21.18;274.78;12.14;286.14;3.60;297.53;-4.08;309.42;--;--;--;--;
2022-05-18;--;--;--;--;--;--;--;--;--;--;--;--;9.50;70.30;18.44;81.60;27.64;93.27;36.72;106.10;45.17;121.16;52.19;139.82;56.63;163.01;57.29;189.05;53.93;213.49;47.58;233.55;39.48;249.58;30.55;262.98;21.35;274.93;12.31;286.28;3.78;297.65;-3.88;309.52;--;--;--;--;
2022-05-19;--;--;--;--;--;--;--;--;--;--;--;--;9.67;70.16;18.60;81.44;27.80;93.10;36.88;105.92;45.34;120.97;52.38;139.66;56.84;162.92;57.50;189.07;54.13;213.61;47.77;233.70;39.66;249.74;30.72;263.13;21.52;275.07;12.49;286.41;3.96;297.77;-3.69;309.62;--;--;--;--;
2022-05-20;--;--;--;--;--;--;--;--;--;--;--;--;9.83;70.02;18.75;81.29;27.95;92.94;37.04;105.74;45.51;120.79;52.57;139.49;57.05;162.82;57.71;189.09;54.33;213.72;47.95;233.85;39.83;249.90;30.88;263.28;21.69;275.20;12.66;286.53;4.14;297.88;-3.51;309.71;--;--;--;--;
2022-05-21;--;--;--;--;--;--;--;--;--;--;--;--;9.98;69.88;18.90;81.14;28.10;92.77;37.19;105.57;45.67;120.61;52.75;139.33;57.24;162.72;57.92;189.10;54.53;213.82;48.13;233.99;40.00;250.04;31.05;263.42;21.85;275.33;12.82;286.65;4.31;297.98;-3.32;309.80;--;--;--;--;
2022-05-22;--;--;--;--;--;--;--;--;--;--;--;--;10.13;69.74;19.04;80.99;28.24;92.61;37.33;105.39;45.82;120.43;52.92;139.16;57.43;162.62;58.11;189.11;54.72;213.92;48.31;234.13;40.17;250.19;31.21;263.55;22.01;275.46;12.99;286.76;4.49;298.08;-3.14;309.88;--;--;--;--;
2022-05-23;--;--;--;--;--;--;--;--;--;--;--;--;10.27;69.60;19.18;80.84;28.37;92.45;37.47;105.22;45.97;120.25;53.09;138.99;57.62;162.51;58.31;189.11;54.91;214.01;48.48;234.26;40.33;250.32;31.37;263.68;22.17;275.58;13.15;286.87;4.65;298.18;-2.97;309.96;--;--;--;--;
2022-05-24;--;--;--;--;--;--;--;--;--;--;--;--;10.41;69.47;19.31;80.69;28.50;92.29;37.60;105.05;46.11;120.07;53.25;138.83;57.80;162.40;58.50;189.10;55.09;214.09;48.65;234.38;40.49;250.45;31.52;263.81;22.33;275.69;13.31;286.97;4.82;298.27;-2.80;310.04;--;--;--;--;
2022-05-25;--;--;--;--;--;--;--;--;--;--;--;--;10.54;69.34;19.43;80.55;28.62;92.14;37.73;104.88;46.25;119.89;53.40;138.66;57.97;162.29;58.68;189.10;55.26;214.17;48.81;234.50;40.64;250.57;31.67;263.92;22.48;275.80;13.46;287.07;4.97;298.35;-2.63;310.10;--;--;--;--;
2022-05-26;--;--;--;--;--;--;--;--;--;--;--;--;10.66;69.21;19.55;80.41;28.74;91.98;37.85;104.71;46.38;119.72;53.55;138.50;58.14;162.18;58.85;189.08;55.43;214.24;48.97;234.61;40.80;250.69;31.82;264.04;22.62;275.90;13.61;287.16;5.13;298.43;-2.47;310.17;--;--;--;--;
2022-05-27;--;--;--;--;--;--;--;--;--;--;--;--;10.78;69.08;19.66;80.27;28.85;91.83;37.96;104.55;46.50;119.55;53.69;138.33;58.30;162.07;59.02;189.07;55.60;214.31;49.13;234.71;40.94;250.80;31.96;264.14;22.77;276.00;13.76;287.25;5.28;298.50;-2.31;310.23;--;--;--;--;
2022-05-28;--;--;--;--;--;--;--;--;--;--;--;--;10.89;68.95;19.77;80.13;28.95;91.69;38.07;104.39;46.62;119.38;53.82;138.17;58.45;161.95;59.19;189.04;55.76;214.37;49.28;234.81;41.09;250.90;32.11;264.24;22.91;276.09;13.90;287.33;5.43;298.57;-2.16;310.29;--;--;--;--;
2022-05-29;--;--;--;--;--;--;--;--;--;--;--;--;11.00;68.83;19.87;80.00;29.05;91.54;38.17;104.23;46.73;119.21;53.95;138.01;58.60;161.83;59.35;189.02;55.92;214.43;49.43;234.90;41.23;251.00;32.24;264.33;23.04;276.17;14.04;287.40;5.57;298.64;-2.01;310.34;--;--;--;--;
2022-05-30;--;--;--;--;--;--;--;--;--;--;--;--;11.10;68.71;19.96;79.87;29.14;91.40;38.27;104.08;46.84;119.04;54.07;137.84;58.74;161.71;59.50;188.99;56.07;214.47;49.57;234.98;41.37;251.09;32.38;264.42;23.18;276.25;14.18;287.47;5.71;298.70;-1.87;310.38;--;--;--;--;
2022-05-31;--;--;--;--;--;--;--;--;--;--;--;--;11.19;68.59;20.05;79.74;29.23;91.26;38.36;103.93;46.93;118.88;54.18;137.68;58.87;161.59;59.65;188.95;56.21;214.51;49.71;235.06;41.50;251.18;32.50;264.50;23.31;276.33;14.31;287.54;5.85;298.75;-1.73;310.43;--;--;--;--;
2022-06-01;--;--;--;--;--;--;--;--;--;--;--;--;11.28;68.48;20.13;79.62;29.31;91.13;38.44;103.78;47.03;118.72;54.29;137.52;59.00;161.47;59.79;188.91;56.35;214.55;49.84;235.13;41.63;251.26;32.63;264.58;23.43;276.40;14.43;287.60;5.98;298.80;-1.59;310.46;--;--;--;--;
2022-06-02;--;--;--;--;--;--;--;--;--;--;--;--;11.36;68.37;20.21;79.50;29.39;91.00;38.52;103.64;47.11;118.57;54.39;137.37;59.12;161.35;59.92;188.86;56.49;214.58;49.97;235.19;41.75;251.33;32.75;264.65;23.55;276.46;14.56;287.65;6.10;298.85;-1.46;310.50;--;--;--;--;
2022-06-03;--;--;--;--;--;--;--;--;--;--;--;--;11.44;68.26;20.28;79.38;29.45;90.87;38.59;103.50;47.19;118.41;54.49;137.21;59.23;161.22;60.05;188.81;56.62;214.60;50.10;235.24;41.87;251.39;32.87;264.71;23.67;276.52;14.68;287.70;6.23;298.89;-1.34;310.53;--;--;--;--;
2022-06-04;--;--;--;--;--;--;--;--;--;--;--;--;11.51;68.15;20.35;79.26;29.52;90.74;38.65;103.36;47.27;118.27;54.57;137.06;59.34;161.10;60.17;188.76;56.74;214.61;50.22;235.29;41.99;251.45;32.98;264.77;23.78;276.57;14.79;287.75;6.34;298.93;-1.22;310.55;--;--;--;--;
2022-06-05;--;--;--;--;--;--;--;--;--;--;--;--;11.57;68.05;20.41;79.15;29.57;90.62;38.71;103.23;47.33;118.12;54.65;136.91;59.44;160.97;60.28;188.70;56.86;214.62;50.33;235.33;42.10;251.50;33.09;264.82;23.89;276.61;14.90;287.79;6.46;298.96;-1.11;310.57;--;--;--;--;
2022-06-06;--;--;--;--;--;--;--;--;--;--;--;--;11.63;67.95;20.46;79.05;29.63;90.51;38.77;103.10;47.39;117.98;54.73;136.76;59.53;160.85;60.39;188.64;56.97;214.62;50.44;235.37;42.20;251.55;33.20;264.86;24.00;276.65;15.01;287.82;6.56;298.98;-1.00;310.58;--;--;--;--;
2022-06-07;--;--;--;--;--;--;--;--;--;--;--;--;11.68;67.85;20.51;78.94;29.67;90.39;38.82;102.98;47.45;117.84;54.80;136.62;59.62;160.72;60.49;188.57;57.08;214.62;50.55;235.40;42.31;251.58;33.30;264.90;24.10;276.69;15.11;287.85;6.67;299.00;-0.89;310.60;--;--;--;--;
2022-06-08;--;--;--;--;--;--;--;--;--;--;--;--;11.73;67.75;20.55;78.84;29.71;90.28;38.86;102.86;47.50;117.71;54.86;136.48;59.70;160.60;60.59;188.50;57.18;214.60;50.65;235.42;42.40;251.61;33.40;264.93;24.20;276.72;15.21;287.87;6.77;299.02;-0.79;310.60;-7.10;322.92;--;--;
2022-06-09;--;--;--;--;--;--;--;--;--;--;--;--;11.77;67.66;20.58;78.75;29.75;90.18;38.89;102.74;47.54;117.58;54.91;136.34;59.77;160.48;60.68;188.43;57.27;214.59;50.74;235.43;42.50;251.64;33.49;264.96;24.29;276.74;15.30;287.89;6.86;299.03;-0.70;310.61;-7.01;322.92;--;--;
2022-06-10;--;--;--;--;--;--;--;--;--;--;--;--;11.81;67.58;20.61;78.65;29.78;90.08;38.92;102.63;47.58;117.46;54.96;136.21;59.84;160.35;60.76;188.35;57.36;214.56;50.83;235.44;42.59;251.66;33.58;264.98;24.38;276.76;15.39;287.91;6.95;299.04;-0.61;310.60;-6.92;322.90;--;--;
2022-06-11;--;--;--;--;--;--;--;--;--;--;--;--;11.83;67.49;20.64;78.56;29.80;89.98;38.95;102.53;47.61;117.34;55.00;136.08;59.90;160.23;60.83;188.27;57.45;214.53;50.92;235.44;42.67;251.67;33.66;264.99;24.46;276.77;15.47;287.91;7.03;299.04;-0.53;310.60;-6.84;322.89;--;--;
2022-06-12;--;--;--;--;--;--;--;--;--;--;--;--;11.86;67.41;20.66;78.48;29.82;89.89;38.97;102.42;47.63;117.23;55.04;135.95;59.95;160.11;60.90;188.18;57.52;214.50;51.00;235.43;42.75;251.67;33.74;265.00;24.54;276.78;15.55;287.92;7.11;299.04;-0.45;310.59;-6.76;322.87;--;--;
2022-06-13;--;--;--;--;--;--;--;--;--;--;--;--;11.87;67.34;20.67;78.40;29.83;89.81;38.98;102.33;47.65;117.12;55.07;135.83;60.00;159.99;60.96;188.10;57.59;214.45;51.07;235.42;42.82;251.67;33.81;265.00;24.61;276.78;15.62;287.92;7.18;299.03;-0.38;310.58;-6.69;322.85;--;--;
2022-06-14;--;--;--;--;--;--;--;--;--;--;--;--;11.89;67.27;20.68;78.32;29.83;89.73;38.99;102.24;47.66;117.01;55.09;135.72;60.03;159.87;61.02;188.01;57.66;214.41;51.14;235.40;42.89;251.66;33.88;265.00;24.68;276.78;15.69;287.91;7.25;299.02;-0.31;310.56;-6.63;322.82;--;--;
2022-06-15;--;--;--;--;--;--;--;--;--;--;--;--;11.89;67.20;20.68;78.25;29.83;89.65;38.99;102.15;47.67;116.92;55.11;135.60;60.07;159.76;61.07;187.92;57.72;214.35;51.20;235.37;42.96;251.65;33.95;264.99;24.75;276.77;15.76;287.90;7.31;299.01;-0.25;310.54;-6.57;322.79;--;--;
2022-06-16;--;--;--;--;--;--;--;--;--;--;--;--;11.89;67.13;20.68;78.19;29.83;89.58;38.99;102.07;47.67;116.82;55.12;135.50;60.09;159.64;61.11;187.82;57.77;214.29;51.26;235.34;43.02;251.63;34.01;264.97;24.81;276.75;15.82;287.88;7.37;298.99;-0.19;310.51;-6.52;322.76;--;--;
2022-06-17;--;--;--;--;--;--;--;--;--;--;--;--;11.89;67.07;20.67;78.12;29.82;89.51;38.98;102.00;47.66;116.74;55.12;135.40;60.11;159.53;61.14;187.72;57.82;214.23;51.31;235.29;43.07;251.60;34.06;264.95;24.86;276.73;15.87;287.86;7.42;298.96;-0.15;310.48;-6.47;322.73;--;--;
2022-06-18;--;--;--;--;--;--;--;--;--;--;--;--;11.88;67.02;20.66;78.07;29.81;89.45;38.96;101.93;47.65;116.66;55.12;135.30;60.12;159.42;61.17;187.63;57.86;214.16;51.36;235.25;43.12;251.57;34.11;264.93;24.91;276.71;15.92;287.84;7.47;298.93;-0.10;310.45;-6.43;322.69;--;--;
2022-06-19;--;--;--;--;--;--;--;--;--;--;--;--;11.86;66.97;20.64;78.01;29.79;89.39;38.94;101.87;47.64;116.58;55.11;135.21;60.12;159.32;61.19;187.53;57.89;214.08;51.40;235.20;43.16;251.53;34.15;264.89;24.95;276.68;15.96;287.80;7.51;298.90;-0.06;310.42;-6.40;322.65;--;--;
2022-06-20;--;--;--;--;--;--;--;--;--;--;--;--;11.84;66.92;20.61;77.96;29.76;89.34;38.92;101.81;47.62;116.51;55.10;135.12;60.12;159.22;61.21;187.42;57.92;214.00;51.43;235.14;43.20;251.48;34.19;264.86;24.99;276.64;16.00;287.77;7.54;298.87;-0.03;310.38;-6.37;322.61;--;--;
2022-06-21;--;--;--;--;--;--;--;--;--;--;--;--;11.81;66.88;20.58;77.92;29.73;89.29;38.89;101.76;47.59;116.45;55.08;135.04;60.11;159.12;61.21;187.32;57.94;213.91;51.46;235.07;43.23;251.43;34.23;264.81;25.03;276.60;16.03;287.73;7.57;298.82;-0.01;310.33;-6.35;322.56;--;--;
2022-06-22;--;--;--;--;--;--;--;--;--;--;--;--;11.78;66.84;20.55;77.88;29.69;89.25;38.85;101.71;47.56;116.39;55.05;134.97;60.10;159.02;61.21;187.22;57.95;213.82;51.49;235.00;43.26;251.38;34.26;264.76;25.06;276.56;16.06;287.69;7.60;298.78;0.01;310.29;-6.34;322.51;--;--;
2022-06-23;--;--;--;--;--;--;--;--;--;--;--;--;11.74;66.80;20.51;77.85;29.65;89.22;38.81;101.67;47.52;116.34;55.02;134.90;60.07;158.93;61.21;187.11;57.96;213.73;51.50;234.92;43.28;251.31;34.28;264.71;25.08;276.51;16.08;287.64;7.62;298.73;0.03;310.24;-6.33;322.46;--;--;
2022-06-24;--;--;--;--;--;--;--;--;--;--;--;--;11.70;66.77;20.47;77.82;29.61;89.19;38.77;101.64;47.47;116.30;54.98;134.84;60.05;158.84;61.19;187.01;57.96;213.63;51.51;234.84;43.30;251.24;34.30;264.65;25.10;276.45;16.10;287.59;7.63;298.68;0.03;310.19;-6.33;322.41;--;--;
2022-06-25;--;--;--;--;--;--;--;--;--;--;--;--;11.65;66.75;20.42;77.80;29.56;89.17;38.72;101.61;47.43;116.27;54.93;134.79;60.01;158.76;61.17;186.90;57.96;213.53;51.52;234.75;43.31;251.17;34.31;264.58;25.11;276.39;16.11;287.53;7.64;298.62;0.04;310.13;-6.34;322.35;--;--;
2022-06-26;--;--;--;--;--;--;--;--;--;--;--;--;11.60;66.73;20.36;77.78;29.50;89.15;38.66;101.59;47.37;116.24;54.88;134.74;59.97;158.68;61.14;186.80;57.95;213.42;51.52;234.66;43.32;251.09;34.32;264.51;25.12;276.33;16.11;287.47;7.64;298.56;0.03;310.07;-6.35;322.29;--;--;
2022-06-27;--;--;--;--;--;--;--;--;--;--;--;--;11.54;66.71;20.30;77.77;29.44;89.14;38.60;101.57;47.31;116.21;54.83;134.70;59.92;158.61;61.11;186.69;57.93;213.31;51.51;234.56;43.32;251.00;34.32;264.44;25.12;276.26;16.11;287.40;7.63;298.50;0.02;310.01;-6.37;322.23;--;--;
2022-06-28;--;--;--;--;--;--;--;--;--;--;--;--;11.47;66.70;20.24;77.76;29.38;89.13;38.54;101.57;47.25;116.20;54.76;134.66;59.86;158.54;61.07;186.59;57.90;213.19;51.50;234.46;43.31;250.91;34.32;264.36;25.12;276.19;16.10;287.33;7.62;298.44;0.00;309.94;-6.39;322.17;--;--;
2022-06-29;--;--;--;--;--;--;--;--;--;--;--;--;11.41;66.69;20.17;77.76;29.31;89.13;38.47;101.56;47.18;116.19;54.70;134.63;59.80;158.47;61.02;186.48;57.87;213.08;51.48;234.35;43.30;250.82;34.31;264.27;25.11;276.11;16.09;287.26;7.61;298.37;-0.02;309.88;-6.42;322.10;--;--;
2022-06-30;--;--;--;--;--;--;--;--;--;--;--;--;11.33;66.69;20.10;77.76;29.24;89.13;38.40;101.57;47.11;116.18;54.62;134.61;59.73;158.41;60.96;186.38;57.83;212.96;51.45;234.23;43.28;250.72;34.30;264.18;25.09;276.03;16.07;287.18;7.58;298.29;-0.05;309.81;-6.46;322.04;--;--;
2022-07-01;--;--;--;--;--;--;--;--;--;--;--;--;11.26;66.70;20.02;77.77;29.16;89.14;38.32;101.58;47.03;116.19;54.54;134.60;59.66;158.36;60.90;186.28;57.79;212.83;51.42;234.12;43.26;250.61;34.28;264.09;25.07;275.94;16.05;287.10;7.55;298.22;-0.08;309.73;-6.50;321.97;--;--;
2022-07-02;--;--;--;--;--;--;--;--;--;--;--;--;11.17;66.71;19.94;77.78;29.08;89.16;38.24;101.60;46.94;116.20;54.46;134.59;59.58;158.31;60.83;186.18;57.73;212.71;51.39;233.99;43.23;250.50;34.25;263.99;25.04;275.85;16.02;287.02;7.52;298.14;-0.13;309.66;-6.55;321.90;--;--;
2022-07-03;--;--;--;--;--;--;--;--;--;--;--;--;11.08;66.72;19.85;77.80;28.99;89.18;38.15;101.62;46.86;116.22;54.37;134.59;59.49;158.27;60.76;186.08;57.67;212.58;51.34;233.87;43.19;250.39;34.22;263.89;25.01;275.76;15.99;286.93;7.48;298.05;-0.17;309.58;-6.61;321.83;--;--;
2022-07-04;--;--;--;--;--;--;--;--;--;--;--;--;10.99;66.74;19.76;77.83;28.90;89.21;38.06;101.65;46.76;116.24;54.28;134.59;59.40;158.23;60.67;185.98;57.61;212.45;51.29;233.74;43.15;250.27;34.18;263.78;24.98;275.66;15.95;286.84;7.43;297.97;-0.23;309.50;-6.67;321.75;--;--;
2022-07-05;--;--;--;--;--;--;--;--;--;--;--;--;10.90;66.76;19.66;77.86;28.80;89.25;37.96;101.69;46.66;116.28;54.18;134.61;59.30;158.20;60.58;185.89;57.54;212.32;51.23;233.60;43.10;250.15;34.14;263.67;24.93;275.56;15.90;286.75;7.38;297.88;-0.29;309.42;-6.74;321.68;--;--;
2022-07-06;--;--;--;--;--;--;--;--;--;--;--;--;10.80;66.79;19.56;77.89;28.70;89.29;37.86;101.73;46.56;116.32;54.07;134.63;59.19;158.17;60.49;185.79;57.46;212.18;51.17;233.47;43.05;250.02;34.09;263.55;24.88;275.45;15.85;286.65;7.32;297.79;-0.36;309.33;-6.82;321.60;--;--;
2022-07-07;--;--;--;--;--;--;--;--;--;--;--;--;10.69;66.83;19.46;77.93;28.60;89.34;37.76;101.78;46.46;116.36;53.96;134.66;59.08;158.15;60.38;185.70;57.37;212.05;51.10;233.32;42.99;249.89;34.03;263.43;24.83;275.34;15.79;286.55;7.26;297.69;-0.43;309.24;-6.90;321.52;--;--;
2022-07-08;--;--;--;--;--;--;--;--;--;--;--;--;10.58;66.86;19.35;77.98;28.49;89.39;37.65;101.84;46.34;116.42;53.84;134.69;58.96;158.14;60.27;185.62;57.28;211.91;51.02;233.18;42.93;249.75;33.97;263.31;24.77;275.23;15.72;286.44;7.18;297.60;-0.51;309.15;-6.99;321.44;--;--;
2022-07-09;--;--;--;--;--;--;--;--;--;--;--;--;10.47;66.91;19.24;78.03;28.38;89.45;37.54;101.90;46.23;116.48;53.72;134.74;58.84;158.13;60.16;185.53;57.18;211.78;50.94;233.03;42.85;249.62;33.90;263.19;24.70;275.11;15.65;286.34;7.11;297.50;-0.59;309.06;-7.09;321.36;--;--;
2022-07-10;--;--;--;--;--;--;--;--;--;--;--;--;10.35;66.96;19.12;78.09;28.27;89.51;37.42;101.97;46.11;116.55;53.60;134.79;58.71;158.13;60.04;185.45;57.07;211.64;50.85;232.88;42.78;249.47;33.83;263.06;24.62;275.00;15.58;286.23;7.02;297.40;-0.69;308.97;-7.19;321.27;--;--;
2022-07-11;--;--;--;--;--;--;--;--;--;--;--;--;10.23;67.01;19.01;78.15;28.15;89.58;37.30;102.04;45.99;116.62;53.47;134.84;58.58;158.13;59.91;185.37;56.96;211.50;50.76;232.73;42.69;249.33;33.75;262.92;24.55;274.87;15.49;286.11;6.94;297.29;-0.79;308.87;-7.30;321.19;--;--;
2022-07-12;--;--;--;--;--;--;--;--;--;--;--;--;10.10;67.07;18.88;78.22;28.03;89.66;37.18;102.13;45.86;116.70;53.33;134.91;58.44;158.14;59.77;185.29;56.84;211.36;50.66;232.58;42.60;249.18;33.67;262.79;24.46;274.75;15.40;286.00;6.84;297.18;-0.89;308.78;--;--;--;--;
2022-07-13;--;--;--;--;--;--;--;--;--;--;--;--;9.97;67.14;18.76;78.30;27.90;89.74;37.05;102.22;45.73;116.79;53.19;134.98;58.29;158.16;59.63;185.22;56.72;211.22;50.55;232.42;42.50;249.03;33.57;262.65;24.37;274.62;15.31;285.88;6.74;297.08;-1.00;308.68;--;--;--;--;
2022-07-14;--;--;--;--;--;--;--;--;--;--;--;--;9.84;67.21;18.62;78.38;27.77;89.83;36.92;102.31;45.59;116.89;53.05;135.05;58.14;158.18;59.48;185.15;56.59;211.09;50.43;232.26;42.40;248.88;33.48;262.50;24.27;274.49;15.21;285.76;6.63;296.96;-1.12;308.58;--;--;--;--;
2022-07-15;--;--;--;--;--;--;--;--;--;--;--;--;9.70;67.28;18.49;78.46;27.64;89.93;36.79;102.41;45.45;116.99;52.90;135.14;57.98;158.21;59.33;185.09;56.45;210.95;50.31;232.10;42.29;248.72;33.37;262.36;24.17;274.36;15.10;285.64;6.52;296.85;-1.24;308.48;--;--;--;--;
